STATE/UT,State,Literacy,Male,Female
KERALA,KERALA,94,96.11,92.07
LAKSHADWEEP,Lakshadweep,91.85,95.56,87.95
MIZORAM,Mizoram,91.33,93.35,89.27
GOA,Goa,88.7,92.65,84.66
TRIPURA,Tripura,87.22,91.53,82.73
DAMAN AND DIU,Daman and Diu,87.1,91.54,79.55
ANDAMAN AND NICOBAR ISLANDS,Andaman and Nicobar Islands,86.63,90.27,82.43
DELHI UT,Delhi,86.21,90.94,80.76
CHANDIGARH,Chandigarh,86.05,89.99,81.19
PUDUCHERRY,Puducherry,85.85,91.26,80.67
HIMACHAL PRADESH,Himachal Pradesh,82.8,89.53,75.93
MAHARASHTRA,Maharashtra,82.34,88.38,75.87
SIKKIM,Sikkim,81.42,86.55,75.61
TAMIL NADU,Tamil Nadu,80.09,86.77,73.44
NAGALAND,Nagaland,79.55,82.75,76.11
UTTARAKHAND,Uttarakhand,78.82,87.4,70.01
GUJARAT,Gujarat,78.03,85.75,69.68
MANIPUR,Manipur,76.94,83.58,70.26
WEST BENGAL,West Bengal,76.26,81.69,70.54
PUNJAB,Punjab,75.84,80.44,70.73
HARYANA,Haryana,75.55,84.06,65.94
KARNATAKA,Karnataka,75.36,82.47,68.08
MEGHALAYA,Meghalaya,74.43,75.95,72.89
ORISSA,Orissa,72.87,81.59,64.01
ASSAM,Assam,72.19,77.85,66.27
CHHATTISGARH,Chhattisgarh,70.28,80.27,60.24
MADHYA PRADESH,Madhya Pradesh,69.32,78.73,59.24
UTTAR PRADESH,Uttar Pradesh,67.68,77.28,57.18
JAMMU AND KASHMIR,Jammu and Kashmir,67.16,76.75,56.43
ANDHRA PRADESH,Andhra Pradesh,67.02,74.88,59.15
JHARKHAND,Jharkhand,66.41,76.84,55.42
RAJASTHAN,Rajasthan,66.11,79.19,52.12
ARUNACHAL PRADESH,Arunachal Pradesh,65.38,72.55,57.7
BIHAR,Bihar,61.8,71.2,51.5
