SNO,State,STATE/UT,Population,Ruralpop,urbanpop
1,Uttar Pradesh,UTTAR PRADESH,199812341,155317278,44495063
2,Maharashtra,MAHARASHTRA,112374333,61556074,50818259
3,Bihar,BIHAR,104099452,92341436,11758016
4,West Bengal,WEST BENGAL,91276115,62183113,29093002
5,Madhya Pradesh,MADHYA PRADESH,72626809,52557404,20069405
6,Tamil Nadu,TAMIL NADU,72147030,37229590,34917440
7,Rajasthan,RAJASTHAN,68548437,51500352,17048085
8,Karnataka,KARNATAKA,61095297,37469335,23625962
9,Gujarat,GUJARAT,60439692,34694609,25745083
10,Andhra Pradesh,ANDHRA PRADESH,"84,580,777",56361702,28219075
11,Odisha,ODISHA,41974219,34970562,7003656
12,Kerala,KERALA,33406061,17471135,15934926
13,Jharkhand,JHARKHAND,32988134,25055073,7933061
14,Assam,ASSAM,31205576,26807034,4398542
15,Punjab,PUNJAB,27743338,17344192,10399146
16,Chhattisgarh,CHHATTISGARH,25545198,19607961,5937237
17,Haryana,HARYANA,25351462,16509359,8842103
18,NCT of Delhi,DELHI UT,16787941,419042,16368899
19,Jammu and Kashmir,JAMMU AND KASHMIR,12267032,9064220,3202812
20,Uttarakhand,UTTARAKHAND,10086292,7036954,3049338
21,Himachal Pradesh,HIMACHAL PRADESH,6864602,6176050,688552
22,Tripura,TRIPURA,3673917,2712464,961453
23,Meghalaya,MEGHALAYA,2966889,2371439,595450
24,Manipur[c],MANIPUR[C],2570390,1793875,776515
25,Nagaland,NAGALAND,1978502,1407536,570966
26,Goa,GOA,1458545,551731,906814
27,Arunachal Pradesh,ARUNACHAL PRADESH,1383727,1066358,317369
28,Puducherry,PUDUCHERRY,1247953,395200,852753
29,Mizoram,MIZORAM,1097206,525435,571771
30,Chandigarh,CHANDIGARH,1055450,28991,1026459
31,Sikkim,SIKKIM,610577,456999,153578
32,Dadra and Nagar Haveli and Daman and Diu,DAMAN & DIU,585764,243510,342254
33,Andaman and Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,380581,237093,143488
34,Ladakh,LADAKH,274000,43840,230160
35,Lakshadweep,LAKSHADWEEP,64473,14141,50332
